meter, pressure_hpa, bmp280_temp, CO2, O3
534.95, 946.73, 21.39, 762.00, 291.57
534.07, 946.83, 21.09, 755.00, 291.57
534.60, 946.77, 21.05, 764.00, 371.36
534.69, 946.76, 21.05, 767.00, 214.58
534.42, 946.79, 21.03, 783.00, 272.06
534.86, 946.74, 21.05, 755.00, 255.00
534.60, 946.77, 21.03, 774.00, 255.00
534.78, 946.75, 21.04, 764.00, 340.33
534.51, 946.78, 21.04, 767.00, 255.00
534.33, 946.80, 21.04, 767.00, 255.00
534.07, 946.83, 21.04, 767.00, 272.06
534.78, 946.75, 21.04, 771.00, 255.00
534.95, 946.73, 21.03, 769.00, 291.57
534.25, 946.81, 21.03, 771.00, 291.57
534.69, 946.76, 21.03, 771.00, 272.06
533.90, 946.85, 21.03, 767.00, 272.06
534.69, 946.76, 21.03, 764.00, 371.36
534.69, 946.76, 21.03, 769.00, 255.00
534.95, 946.73, 21.03, 764.00, 214.58
534.42, 946.79, 21.03, 767.00, 255.00
534.51, 946.78, 21.02, 759.00, 272.06
534.42, 946.79, 21.03, 764.00, 291.57
534.33, 946.80, 21.04, 764.00, 291.57
534.69, 946.76, 21.03, 764.00, 255.00
534.33, 946.80, 21.02, 767.00, 226.55
535.04, 946.72, 21.02, 774.00, 255.00
534.95, 946.73, 21.03, 767.00, 194.04
534.95, 946.73, 21.03, 767.00, 239.94
534.07, 946.83, 21.02, 752.00, 291.57
534.95, 946.73, 21.03, 769.00, 272.06
534.60, 946.77, 21.04, 769.00, 255.00
534.60, 946.77, 21.04, 757.00, 255.00
534.60, 946.77, 21.04, 767.00, 255.00
534.42, 946.79, 21.03, 767.00, 291.57
534.78, 946.75, 21.02, 767.00, 272.06
534.60, 946.77, 21.02, 771.00, 291.57
534.33, 946.80, 21.02, 771.00, 291.57
534.33, 946.80, 21.02, 755.00, 203.80
534.51, 946.78, 21.03, 767.00, 291.57
534.51, 946.78, 21.02, 767.00, 291.57
534.33, 946.80, 21.02, 767.00, 291.57
534.60, 946.77, 21.02, 771.00, 239.94
533.98, 946.84, 21.03, 769.00, 291.57
534.86, 946.74, 21.03, 774.00, 291.57
533.90, 946.85, 21.03, 767.00, 272.06
534.78, 946.75, 21.02, 764.00, 255.00
534.78, 946.75, 21.04, 759.00, 226.55
534.33, 946.80, 21.04, 769.00, 340.33
535.13, 946.71, 21.03, 759.00, 169.66
534.69, 946.76, 21.03, 771.00, 272.06
534.78, 946.75, 21.04, 767.00, 371.36
535.04, 946.72, 21.04, 764.00, 239.94
534.78, 946.75, 21.02, 771.00, 272.06
534.60, 946.77, 21.03, 767.00, 226.55
534.78, 946.75, 21.02, 769.00, 255.00
534.60, 946.77, 21.03, 752.00, 314.07
534.78, 946.75, 21.04, 767.00, 255.00
534.78, 946.75, 21.04, 750.00, 272.06
535.13, 946.71, 21.03, 776.00, 314.07
534.95, 946.73, 21.03, 755.00, 291.57
534.60, 946.77, 21.03, 769.00, 239.94
534.51, 946.78, 21.04, 774.00, 239.94
534.60, 946.77, 21.04, 771.00, 255.00
534.95, 946.73, 21.04, 767.00, 291.57
534.60, 946.77, 21.04, 769.00, 291.57
535.04, 946.72, 21.04, 764.00, 272.06
534.51, 946.78, 21.04, 755.00, 255.00
534.78, 946.75, 21.04, 774.00, 408.59
535.21, 946.70, 21.04, 769.00, 214.58
534.78, 946.75, 21.04, 762.00, 408.59
535.04, 946.72, 21.04, 774.00, 291.57
534.78, 946.75, 21.04, 769.00, 239.94
534.78, 946.75, 21.04, 785.00, 255.00
535.04, 946.72, 21.04, 767.00, 291.57
534.51, 946.78, 21.04, 767.00, 255.00
534.60, 946.77, 21.04, 767.00, 272.06
534.78, 946.75, 21.04, 774.00, 239.94
534.42, 946.79, 21.05, 767.00, 226.55
534.86, 946.74, 21.05, 769.00, 255.00
534.86, 946.74, 21.05, 764.00, 255.00
534.78, 946.75, 21.04, 771.00, 272.06
534.60, 946.77, 21.05, 769.00, 272.06
535.13, 946.71, 21.05, 767.00, 255.00
534.86, 946.74, 21.05, 755.00, 255.00
534.33, 946.80, 21.05, 767.00, 291.57
534.86, 946.74, 21.05, 764.00, 239.94
534.78, 946.75, 21.05, 771.00, 255.00
534.86, 946.74, 21.05, 776.00, 169.66
534.42, 946.79, 21.06, 767.00, 272.06
534.69, 946.76, 21.06, 755.00, 340.33
534.78, 946.75, 21.05, 771.00, 239.94
534.95, 946.73, 21.06, 774.00, 291.57
534.69, 946.76, 21.05, 769.00, 255.00
535.39, 946.68, 21.06, 764.00, 340.33
534.51, 946.78, 21.06, 764.00, 239.94
534.95, 946.73, 21.06, 752.00, 291.57
535.21, 946.70, 21.06, 776.00, 226.55
534.69, 946.76, 21.06, 771.00, 291.57
535.21, 946.70, 21.05, 764.00, 239.94
535.04, 946.72, 21.05, 767.00, 255.00
534.78, 946.75, 21.07, 757.00, 340.33
534.69, 946.76, 21.06, 767.00, 291.57
534.78, 946.75, 21.07, 774.00, 185.18
534.60, 946.77, 21.07, 764.00, 272.06
534.95, 946.73, 21.06, 767.00, 291.57
535.04, 946.72, 21.07, 757.00, 272.06
535.30, 946.69, 21.06, 764.00, 291.57
534.42, 946.79, 21.06, 774.00, 291.57
534.78, 946.75, 21.07, 769.00, 408.59
534.95, 946.73, 21.08, 767.00, 255.00
534.78, 946.75, 21.07, 767.00, 203.80
534.60, 946.77, 21.07, 764.00, 272.06
534.51, 946.78, 21.07, 769.00, 255.00
534.78, 946.75, 21.07, 757.00, 255.00
534.95, 946.73, 21.07, 771.00, 255.00
534.33, 946.80, 21.07, 778.00, 255.00
534.78, 946.75, 21.07, 764.00, 255.00
535.39, 946.68, 21.08, 769.00, 255.00
534.95, 946.73, 21.07, 769.00, 255.00
534.69, 946.76, 21.08, 774.00, 272.06
534.86, 946.74, 21.08, 769.00, 226.55
534.69, 946.76, 21.09, 762.00, 272.06
534.42, 946.79, 21.08, 767.00, 340.33
534.86, 946.74, 21.08, 769.00, 272.06
535.04, 946.72, 21.09, 774.00, 255.00
534.95, 946.73, 21.09, 764.00, 272.06
534.95, 946.73, 21.09, 764.00, 291.57
535.57, 946.66, 21.08, 769.00, 272.06
534.78, 946.75, 21.09, 759.00, 291.57
534.69, 946.76, 21.09, 767.00, 255.00
534.86, 946.74, 21.08, 769.00, 371.36
534.95, 946.73, 21.09, 767.00, 255.00
534.95, 946.73, 21.09, 767.00, 291.57
535.04, 946.72, 21.09, 769.00, 226.55
534.16, 946.82, 21.10, 767.00, 255.00
534.95, 946.73, 21.09, 759.00, 291.57
534.86, 946.74, 21.10, 764.00, 169.66
534.86, 946.74, 21.10, 759.00, 314.07
534.51, 946.78, 21.09, 769.00, 272.06
534.86, 946.74, 21.10, 764.00, 272.06
534.86, 946.74, 21.10, 769.00, 291.57
535.21, 946.70, 21.09, 769.00, 226.55
534.86, 946.74, 21.10, 764.00, 255.00
534.95, 946.73, 21.09, 767.00, 255.00
534.86, 946.74, 21.10, 769.00, 272.06
534.78, 946.75, 21.11, 767.00, 239.94
534.78, 946.75, 21.11, 764.00, 214.58
534.42, 946.79, 21.11, 767.00, 226.55
534.95, 946.73, 21.11, 767.00, 291.57
534.69, 946.76, 21.11, 759.00, 272.06
534.69, 946.76, 21.11, 771.00, 255.00
534.42, 946.79, 21.11, 762.00, 255.00
534.78, 946.75, 21.11, 769.00, 314.07
534.95, 946.73, 21.11, 764.00, 239.94
534.95, 946.73, 21.11, 769.00, 371.36
534.25, 946.81, 21.11, 767.00, 291.57
534.86, 946.74, 21.12, 764.00, 314.07
535.13, 946.71, 21.11, 767.00, 255.00
535.13, 946.71, 21.12, 769.00, 291.57
534.69, 946.76, 21.11, 767.00, 291.57
534.69, 946.76, 21.12, 771.00, 239.94
535.21, 946.70, 21.12, 776.00, 272.06
534.95, 946.73, 21.12, 764.00, 340.33
534.60, 946.77, 21.12, 764.00, 272.06
534.25, 946.81, 21.12, 778.00, 291.57
534.78, 946.75, 21.12, 764.00, 226.55
534.60, 946.77, 21.13, 767.00, 291.57
534.51, 946.78, 21.12, 785.00, 272.06
534.33, 946.80, 21.12, 769.00, 408.59
535.21, 946.70, 21.12, 767.00, 255.00
534.86, 946.74, 21.13, 764.00, 272.06
534.33, 946.80, 21.13, 776.00, 226.55
534.33, 946.80, 21.13, 769.00, 291.57
534.60, 946.77, 21.12, 769.00, 239.94
534.69, 946.76, 21.13, 764.00, 226.55
534.60, 946.77, 21.13, 764.00, 255.00
534.60, 946.77, 21.13, 769.00, 371.36
535.04, 946.72, 21.14, 757.00, 340.33
534.51, 946.78, 21.14, 767.00, 239.94
534.78, 946.75, 21.14, 769.00, 255.00
534.95, 946.73, 21.14, 757.00, 272.06
534.33, 946.80, 21.14, 759.00, 239.94
534.42, 946.79, 21.13, 769.00, 314.07
534.42, 946.79, 21.14, 759.00, 340.33
534.33, 946.80, 21.14, 771.00, 214.58
534.51, 946.78, 21.14, 769.00, 291.57
534.69, 946.76, 21.14, 769.00, 314.07
534.69, 946.76, 21.14, 769.00, 255.00
534.25, 946.81, 21.14, 764.00, 226.55
534.95, 946.73, 21.14, 769.00, 255.00
534.33, 946.80, 21.15, 764.00, 226.55
535.13, 946.71, 21.14, 769.00, 255.00
534.86, 946.74, 21.15, 774.00, 314.07
534.60, 946.77, 21.15, 767.00, 239.94
535.04, 946.72, 21.15, 771.00, 194.04
535.04, 946.72, 21.15, 769.00, 291.57
534.78, 946.75, 21.15, 769.00, 340.33
535.48, 946.67, 21.15, 757.00, 291.57
535.04, 946.72, 21.15, 767.00, 255.00
534.86, 946.74, 21.15, 767.00, 255.00
534.78, 946.75, 21.15, 774.00, 239.94
535.04, 946.72, 21.15, 769.00, 226.55
534.60, 946.77, 21.15, 771.00, 255.00
534.69, 946.76, 21.14, 764.00, 226.55
535.21, 946.70, 21.16, 767.00, 255.00
534.95, 946.73, 21.16, 757.00, 226.55
535.21, 946.70, 21.16, 759.00, 226.55
535.13, 946.71, 21.16, 769.00, 239.94
534.51, 946.78, 21.17, 771.00, 255.00
534.78, 946.75, 21.16, 771.00, 255.00
534.86, 946.74, 21.17, 767.00, 239.94
535.30, 946.69, 21.17, 750.00, 226.55
534.86, 946.74, 21.17, 769.00, 291.57
534.69, 946.76, 21.18, 767.00, 214.58
534.86, 946.74, 21.17, 769.00, 255.00
535.04, 946.72, 21.17, 767.00, 272.06
534.95, 946.73, 21.18, 767.00, 291.57
535.04, 946.72, 21.17, 767.00, 314.07
534.78, 946.75, 21.17, 757.00, 239.94
535.13, 946.71, 21.18, 752.00, 272.06
534.95, 946.73, 21.18, 762.00, 291.57
535.21, 946.70, 21.18, 682.00, 255.00
535.04, 946.72, 21.17, 764.00, 272.06
535.21, 946.70, 21.17, 757.00, 255.00
535.30, 946.69, 21.18, 767.00, 226.55
535.65, 946.65, 21.18, 771.00, 239.94
535.30, 946.69, 21.18, 764.00, 371.36
534.60, 946.77, 21.19, 769.00, 371.36
535.30, 946.69, 21.19, 767.00, 291.57
534.86, 946.74, 21.18, 783.00, 291.57
535.39, 946.68, 21.18, 767.00, 272.06
535.04, 946.72, 21.19, 776.00, 255.00
534.60, 946.77, 21.18, 767.00, 291.57
534.95, 946.73, 21.19, 771.00, 408.59
535.21, 946.70, 21.19, 767.00, 291.57
535.30, 946.69, 21.18, 767.00, 340.33
534.60, 946.77, 21.18, 767.00, 255.00
534.95, 946.73, 21.19, 764.00, 255.00
534.60, 946.77, 21.18, 767.00, 239.94
534.95, 946.73, 21.20, 776.00, 371.36
